Code,Range Start,Range End,Normalized Subject,LJ Subject
AG,2,600,General (A),General Works
AM,100.001,110.999,General (A),General Works
AM,111,160,General (A),General Works
AM,200,501,General (A),General Works
AP,1,100.999,General (A),General Works
AS,11,785,General (A),General Works
AS,785.001,945,General (A),General Works
AZ,101,181,General (A),General Works
AZ,181.001,190.999,General (A),General Works
B,1,68.999,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
B,99.001,107.999,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
B,108,708,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
B,720,765,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
B,770,785,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
B,790,807.999,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
B,808,849,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
B,850,5739,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BC,11,24.999,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BC,39.001,59.999,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BD,95,131,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BD,143,237,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BD,240,260,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BD,300,450,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BD,493,701,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BF,1,37.999,Psychology (BF),Psychology
BF,38,64,Psychology (BF),Psychology
BF,64.001,172.999,Psychology (BF),Psychology
BF,173,175.5,Psychology (BF),Psychology
BF,176,176.5,Psychology (BF),Psychology
BF,180,198.7,Psychology (BF),Psychology
BF,198.701,202.999,Psychology (BF),Psychology
BF,207,209,Psychology (BF),Psychology
BF,231,299,Psychology (BF),Psychology
BF,309,499,Psychology (BF),Psychology
BF,511,593,Psychology (BF),Psychology
BF,636,637,Psychology (BF),Psychology
BF,660,685,Psychology (BF),Psychology
BF,692,692.5,Psychology (BF),Psychology
BF,697,697.5,Psychology (BF),Psychology
BF,698,698.9,Psychology (BF),Psychology
BF,699,711,Psychology (BF),Psychology
BF,712,724.85,Psychology (BF),Psychology
BF,727.001,794.999,Psychology (BF),Psychology
BF,1001,1045,Psychology (BF),Psychology
BF,1048,1108,Psychology (BF),Psychology
BF,1562.5,1584,Psychology (BF),Psychology
BH,301,301,Psychology (BF),Psychology
BJ,1,70.999,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BJ,1188,1295,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BJ,1395.001,1517.999,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
BJ,1518,1697,"Philosophy (B-BD, BH, BJ)",Philosophy & Religion
