Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
AC,AC1,AC8,1.0,8.0,Collections.  Series.  Collected works,"Collections of monographs, essays, etc.",American and English,,
AC,AC8.001,AC8.999,8.001,8.999,Collections.  Series.  Collected works,"Collections of monographs, essays, etc.",,,
AC,AC9,AC195,9.0,195.0,Collections.  Series.  Collected works,"Collections of monographs, essays, etc.",Other languages,,
AC,AC195.001,AC199.999,195.001,199.999,Collections.  Series.  Collected works,,,,
AC,AC200,AC200,200.0,200.0,Collections.  Series.  Collected works,Collections for Jewish readers,,,
AC,AC200.001,AC800.999,200.001,800.999,Collections.  Series.  Collected works,,,,
AC,AC801,AC895,801.0,895.0,Collections.  Series.  Collected works,Inaugural and program dissertations,,,
AC,AC895.001,AC900.999,895.001,900.999,Collections.  Series.  Collected works,,,,
AC,AC901,AC995,901.0,995.0,Collections.  Series.  Collected works,Pamphlet collections,,,
AC,AC995.001,AC998.999,995.001,998.999,Collections.  Series.  Collected works,,,,
AC,AC999,AC999,999.0,999.0,Collections.  Series.  Collected works,Scrapbooks,,,
AE,AE1,AE4.999,1.0,4.999,Encyclopedias,,,,
AE,AE5,AE90,5.0,90.0,Encyclopedias,By language,,,
AG,AG2,AG600,2.0,600.0,Dictionaries and other general reference works,,,,
AI,AI1,AI21,1.0,21.0,Indexes,,,,
AM,AM1,AM9.999,1.0,9.999,Museums.  Collectors and collecting,,,,
AM,AM10,AM100,10.0,100.0,Museums.  Collectors and collecting,By country,,,
AM,AM100.001,AM110.999,100.001,110.999,Museums.  Collectors and collecting,,,,
AM,AM111,AM160,111.0,160.0,Museums.  Collectors and collecting,"Museology. Museum methods, technique, etc.",,,
AM,AM160.001,AM199.999,160.001,199.999,Museums.  Collectors and collecting,,,,
AM,AM200,AM501,200.0,501.0,Museums.  Collectors and collecting,Collectors and collecting,,,
AN,AN1,AN9999,1.0,9999.0,Museums.  Collectors and collecting,Newspapers,,,
AP,AP1,AP100.999,1.0,100.999,Periodicals,,,,
AP,AP101,AP115,101.0,115.0,Periodicals,Humorous periodicals,,,
AP,AP115.001,AP199.999,115.001,199.999,Periodicals,,,,
AP,AP200,AP230,200.0,230.0,Periodicals,Juvenile periodicals,,,
AP,AP230.001,AP249.999,230.001,249.999,Periodicals,,,,
AP,AP250,AP265,250.0,265.0,Periodicals,Periodicals for women,,,
AP,AP265.001,AP269.999,265.001,269.999,Periodicals,,,,
AP,AP270,AP271,270.0,271.0,Periodicals,Periodicals for Blacks,,,
AS,AS1,AS2.499,1.0,2.499,Academies and learned societies,,,,
AS,AS2.5,AS4,2.5,4.0,Academies and learned societies,"International associations, congresses, conferences, etc.",,,
AS,AS4.001,AS10.999,4.001,10.999,Academies and learned societies,,,,
AS,AS11,AS785,11.0,785.0,Academies and learned societies,By region or country,,,
AS,AS785.001,AS945,785.001,945.0,Academies and learned societies,,,,
AY,AY1,AY9.999,1.0,9.999,Yearbooks.  Almanacs.  Directories,,,,
AY,AY10,AY29,10.0,29.0,Yearbooks.  Almanacs.  Directories,Annuals,,,
AY,AY29.001,AY29.999,29.001,29.999,Yearbooks.  Almanacs.  Directories,,,,
AY,AY30,AY1730,30.0,1730.0,Yearbooks.  Almanacs.  Directories,Almanacs,,,
AY,AY1730.001,AY2000.999,1730.001,2000.999,Yearbooks.  Almanacs.  Directories,,,,
AY,AY2001,AY2001,2001.0,2001.0,Yearbooks.  Almanacs.  Directories,Directories Class directories by subject in B-Z,,,
AZ,AZ1,AZ19.999,1.0,19.999,History of scholarship and learning.  The humanities,,,,
AZ,AZ20,AZ100.999,20.0,100.999,History of scholarship and learning.  The humanities,,,,
AZ,AZ101,AZ181,101.0,181.0,History of scholarship and learning.  The humanities,Philosophy. Theory,,,
AZ,AZ181.001,AZ190.999,181.001,190.999,History of scholarship and learning.  The humanities,,,,
AZ,AZ191,AZ193,191.0,193.0,History of scholarship and learning.  The humanities,Evaluation,,,
AZ,AZ193.001,AZ199.999,193.001,199.999,History of scholarship and learning.  The humanities,,,,
AZ,AZ200,AZ361,200.0,361.0,History of scholarship and learning.  The humanities,History,,,
AZ,AZ361.001,AZ500.999,361.001,500.999,History of scholarship and learning.  The humanities,,,,
AZ,AZ501,AZ908,501.0,908.0,History of scholarship and learning.  The humanities,By region or country,,,
AZ,AZ908.001,AZ999,908.001,999.0,History of scholarship and learning.  The humanities,,,,
B,B1,B68.999,1.0,68.999,Philosophy (General),,,,
B,B69,B99,69.0,99.0,Philosophy (General),General works,,,
B,B99.001,B107.999,99.001,107.999,Philosophy (General),,,,
B,B108,B708,108.0,708.0,Philosophy (General),By period Including individual philosophers and schools of philosophy,Ancient,,
B,B708.001,B719.999,708.001,719.999,Philosophy (General),By period Including individual philosophers and schools of philosophy,,,
B,B720,B765,720.0,765.0,Philosophy (General),By period Including individual philosophers and schools of philosophy,Medieval,,
